stimulus,category,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,date,frameRate,expName,session,participant,
C,letter,0,0,0,2,2018_Jan_26_2228,None,rsvp,001,1,
P,letter,0,1,1,15,2018_Jan_26_2228,None,rsvp,001,1,
F,letter,0,2,2,5,2018_Jan_26_2228,None,rsvp,001,1,
W,letter,0,3,3,22,2018_Jan_26_2228,None,rsvp,001,1,
S,letter,0,4,4,18,2018_Jan_26_2228,None,rsvp,001,1,
G,letter,0,5,5,6,2018_Jan_26_2228,None,rsvp,001,1,
U,letter,0,6,6,20,2018_Jan_26_2228,None,rsvp,001,1,
V,letter,0,7,7,21,2018_Jan_26_2228,None,rsvp,001,1,
X,letter,0,8,8,23,2018_Jan_26_2228,None,rsvp,001,1,
probe,probe,0,9,9,35,2018_Jan_26_2228,None,rsvp,001,1,
4,number,0,10,10,29,2018_Jan_26_2228,None,rsvp,001,1,
A,letter,0,11,11,0,2018_Jan_26_2228,None,rsvp,001,1,
8,number,0,12,12,33,2018_Jan_26_2228,None,rsvp,001,1,
3,number,0,13,13,28,2018_Jan_26_2228,None,rsvp,001,1,
O,letter,0,14,14,14,2018_Jan_26_2228,None,rsvp,001,1,
7,number,0,15,15,32,2018_Jan_26_2228,None,rsvp,001,1,
Y,letter,0,16,16,24,2018_Jan_26_2228,None,rsvp,001,1,
N,letter,0,17,17,13,2018_Jan_26_2228,None,rsvp,001,1,
I,letter,0,18,18,8,2018_Jan_26_2228,None,rsvp,001,1,
E,letter,0,19,19,4,2018_Jan_26_2228,None,rsvp,001,1,
J,letter,0,20,20,9,2018_Jan_26_2228,None,rsvp,001,1,
9,number,0,21,21,34,2018_Jan_26_2228,None,rsvp,001,1,
Z,letter,0,22,22,25,2018_Jan_26_2228,None,rsvp,001,1,
5,number,0,23,23,30,2018_Jan_26_2228,None,rsvp,001,1,
6,number,0,24,24,31,2018_Jan_26_2228,None,rsvp,001,1,
D,letter,0,25,25,3,2018_Jan_26_2228,None,rsvp,001,1,
T,letter,0,26,26,19,2018_Jan_26_2228,None,rsvp,001,1,
M,letter,0,27,27,12,2018_Jan_26_2228,None,rsvp,001,1,
B,letter,0,28,28,1,2018_Jan_26_2228,None,rsvp,001,1,
H,letter,0,29,29,7,2018_Jan_26_2228,None,rsvp,001,1,
Q,letter,0,30,30,16,2018_Jan_26_2228,None,rsvp,001,1,
R,letter,0,31,31,17,2018_Jan_26_2228,None,rsvp,001,1,
L,letter,0,32,32,11,2018_Jan_26_2228,None,rsvp,001,1,
K,letter,0,33,33,10,2018_Jan_26_2228,None,rsvp,001,1,
1,number,0,34,34,26,2018_Jan_26_2228,None,rsvp,001,1,
None,blank,0,35,35,36,2018_Jan_26_2228,None,rsvp,001,1,
2,number,0,36,36,27,2018_Jan_26_2228,None,rsvp,001,1,
T,letter,1,0,37,19,2018_Jan_26_2228,None,rsvp,001,1,
7,number,1,1,38,32,2018_Jan_26_2228,None,rsvp,001,1,
M,letter,1,2,39,12,2018_Jan_26_2228,None,rsvp,001,1,
N,letter,1,3,40,13,2018_Jan_26_2228,None,rsvp,001,1,
Y,letter,1,4,41,24,2018_Jan_26_2228,None,rsvp,001,1,
probe,probe,1,5,42,35,2018_Jan_26_2228,None,rsvp,001,1,
8,number,1,6,43,33,2018_Jan_26_2228,None,rsvp,001,1,
Q,letter,1,7,44,16,2018_Jan_26_2228,None,rsvp,001,1,
2,number,1,8,45,27,2018_Jan_26_2228,None,rsvp,001,1,
V,letter,1,9,46,21,2018_Jan_26_2228,None,rsvp,001,1,
6,number,1,10,47,31,2018_Jan_26_2228,None,rsvp,001,1,
C,letter,1,11,48,2,2018_Jan_26_2228,None,rsvp,001,1,
L,letter,1,12,49,11,2018_Jan_26_2228,None,rsvp,001,1,
U,letter,1,13,50,20,2018_Jan_26_2228,None,rsvp,001,1,
4,number,1,14,51,29,2018_Jan_26_2228,None,rsvp,001,1,
I,letter,1,15,52,8,2018_Jan_26_2228,None,rsvp,001,1,
1,number,1,16,53,26,2018_Jan_26_2228,None,rsvp,001,1,
D,letter,1,17,54,3,2018_Jan_26_2228,None,rsvp,001,1,
X,letter,1,18,55,23,2018_Jan_26_2228,None,rsvp,001,1,
P,letter,1,19,56,15,2018_Jan_26_2228,None,rsvp,001,1,
5,number,1,20,57,30,2018_Jan_26_2228,None,rsvp,001,1,
Z,letter,1,21,58,25,2018_Jan_26_2228,None,rsvp,001,1,
B,letter,1,22,59,1,2018_Jan_26_2228,None,rsvp,001,1,
E,letter,1,23,60,4,2018_Jan_26_2228,None,rsvp,001,1,
3,number,1,24,61,28,2018_Jan_26_2228,None,rsvp,001,1,
O,letter,1,25,62,14,2018_Jan_26_2228,None,rsvp,001,1,
S,letter,1,26,63,18,2018_Jan_26_2228,None,rsvp,001,1,
F,letter,1,27,64,5,2018_Jan_26_2228,None,rsvp,001,1,
R,letter,1,28,65,17,2018_Jan_26_2228,None,rsvp,001,1,
J,letter,1,29,66,9,2018_Jan_26_2228,None,rsvp,001,1,
9,number,1,30,67,34,2018_Jan_26_2228,None,rsvp,001,1,
A,letter,1,31,68,0,2018_Jan_26_2228,None,rsvp,001,1,
K,letter,1,32,69,10,2018_Jan_26_2228,None,rsvp,001,1,
H,letter,1,33,70,7,2018_Jan_26_2228,None,rsvp,001,1,
G,letter,1,34,71,6,2018_Jan_26_2228,None,rsvp,001,1,
W,letter,1,35,72,22,2018_Jan_26_2228,None,rsvp,001,1,
None,blank,1,36,73,36,2018_Jan_26_2228,None,rsvp,001,1,
K,letter,2,0,74,10,2018_Jan_26_2228,None,rsvp,001,1,
Z,letter,2,1,75,25,2018_Jan_26_2228,None,rsvp,001,1,
9,number,2,2,76,34,2018_Jan_26_2228,None,rsvp,001,1,
T,letter,2,3,77,19,2018_Jan_26_2228,None,rsvp,001,1,
U,letter,2,4,78,20,2018_Jan_26_2228,None,rsvp,001,1,
P,letter,2,5,79,15,2018_Jan_26_2228,None,rsvp,001,1,
1,number,2,6,80,26,2018_Jan_26_2228,None,rsvp,001,1,
L,letter,2,7,81,11,2018_Jan_26_2228,None,rsvp,001,1,
Y,letter,2,8,82,24,2018_Jan_26_2228,None,rsvp,001,1,
M,letter,2,9,83,12,2018_Jan_26_2228,None,rsvp,001,1,
W,letter,2,10,84,22,2018_Jan_26_2228,None,rsvp,001,1,
C,letter,2,11,85,2,2018_Jan_26_2228,None,rsvp,001,1,
4,number,2,12,86,29,2018_Jan_26_2228,None,rsvp,001,1,
6,number,2,13,87,31,2018_Jan_26_2228,None,rsvp,001,1,
H,letter,2,14,88,7,2018_Jan_26_2228,None,rsvp,001,1,
S,letter,2,15,89,18,2018_Jan_26_2228,None,rsvp,001,1,
I,letter,2,16,90,8,2018_Jan_26_2228,None,rsvp,001,1,
8,number,2,17,91,33,2018_Jan_26_2228,None,rsvp,001,1,
2,number,2,18,92,27,2018_Jan_26_2228,None,rsvp,001,1,
R,letter,2,19,93,17,2018_Jan_26_2228,None,rsvp,001,1,
7,number,2,20,94,32,2018_Jan_26_2228,None,rsvp,001,1,
J,letter,2,21,95,9,2018_Jan_26_2228,None,rsvp,001,1,
A,letter,2,22,96,0,2018_Jan_26_2228,None,rsvp,001,1,
Q,letter,2,23,97,16,2018_Jan_26_2228,None,rsvp,001,1,
X,letter,2,24,98,23,2018_Jan_26_2228,None,rsvp,001,1,
3,number,2,25,99,28,2018_Jan_26_2228,None,rsvp,001,1,
None,blank,2,26,100,36,2018_Jan_26_2228,None,rsvp,001,1,
