23.3071 	WARNING 	Trying to use a framebuffer object but GL_ARB_texture_float is not supported. Disabling
27.1419 	DATA 	Keypress: return
27.7289 	DATA 	Keypress: space
29.5350 	WARNING 	Couldn't measure a consistent frame rate.
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

29.5371 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7f52aaf61510>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1920, 1080]), stereo=False, units=u'norm', useFBO=False, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
29.5372 	EXP 	window1: recordFrameIntervals = False
29.8974 	EXP 	window1: recordFrameIntervals = True
29.9711 	WARNING 	t of last frame was 21.85ms (=1/45)
30.0446 	WARNING 	t of last frame was 62.73ms (=1/15)
30.0655 	WARNING 	t of last frame was 20.91ms (=1/47)
30.0884 	WARNING 	t of last frame was 22.97ms (=1/43)
30.1620 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
33.3793 	WARNING 	Couldn't measure a consistent frame rate.
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

34.3437 	EXP 	Created intrText = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='intrText', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
34.3817 	EXP 	Created stimuli = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='stimuli', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
34.3827 	DATA 	Keypress: space
34.3839 	EXP 	window1: blendMode = 'avg'
34.4290 	EXP 	intrText: autoDraw = True
34.4296 	EXP 	window1: blendMode = 'avg'
34.4985 	EXP 	window1: blendMode = 'avg'
34.5506 	EXP 	window1: blendMode = 'avg'
34.5819 	EXP 	window1: blendMode = 'avg'
34.6022 	EXP 	window1: blendMode = 'avg'
34.6289 	EXP 	window1: blendMode = 'avg'
34.6540 	EXP 	window1: blendMode = 'avg'
34.7034 	EXP 	window1: blendMode = 'avg'
34.7303 	EXP 	window1: blendMode = 'avg'
