stimulus,category,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instrConf.keys,instrConf.rt,date,frameRate,expName,session,participant,
,,,,,,space,0.768316030502,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
B,letter,0,0,0,1,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
6,number,0,1,1,31,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
F,letter,0,2,2,5,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
C,letter,0,3,3,2,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
2,number,0,4,4,27,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
M,letter,0,5,5,12,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
5,number,0,6,6,30,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
K,letter,0,7,7,10,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
U,letter,0,8,8,20,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
V,letter,0,9,9,21,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
O,letter,0,10,10,14,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
I,letter,0,11,11,8,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
E,letter,0,12,12,4,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
P,letter,0,13,13,15,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
Y,letter,0,14,14,24,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
probe,probe,0,15,15,35,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
H,letter,0,16,16,7,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
J,letter,0,17,17,9,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
4,number,0,18,18,29,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
S,letter,0,19,19,18,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
3,number,0,20,20,28,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
Q,letter,0,21,21,16,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
R,letter,0,22,22,17,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
G,letter,0,23,23,6,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
None,blank,0,24,24,36,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
8,number,0,25,25,33,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
A,letter,0,26,26,0,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
Z,letter,0,27,27,25,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
D,letter,0,28,28,3,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
L,letter,0,29,29,11,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
T,letter,0,30,30,19,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
X,letter,0,31,31,23,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
W,letter,0,32,32,22,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
7,number,0,33,33,32,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
N,letter,0,34,34,13,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
9,number,0,35,35,34,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
