3.5043 	WARNING 	unknown type:participant
3.5043 	WARNING 	unknown type:session
4.0870 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x11cc90350>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([2560, 1080]), stereo=False, units=u'norm', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
4.0870 	EXP 	window1: recordFrameIntervals = False
4.2531 	EXP 	window1: recordFrameIntervals = True
4.5198 	EXP 	window1: recordFrameIntervals = False
4.5961 	EXP 	Created instrTxt = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='instrTxt', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text=newstr(...), units=u'norm', win=Window(...), wrapWidth=1)
4.5968 	EXP 	Created interStimInt = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='interStimInt', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='', units=u'norm', win=Window(...), wrapWidth=1)
4.6081 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='default text', units=u'norm', win=Window(...), wrapWidth=1)
4.6199 	EXP 	instrTxt: autoDraw = True
4.9353 	DATA 	Keypress: space
4.9547 	EXP 	Imported stimuli.xlsx as conditions, 37 conditions, 2 params
4.9552 	EXP 	Created sequence: random, trialTypes=37, nReps=1, seed=None
4.9555 	EXP 	New trial (rep=0, index=0): OrderedDict([(u'stimulus', u'X'), (u'category', u'letter')])
4.9655 	EXP 	instrTxt: autoDraw = False
4.9655 	EXP 	interStimInt: autoDraw = True
5.0033 	EXP 	interStimInt: autoDraw = False
5.0033 	EXP 	text: text = u'X'
5.0033 	EXP 	text: autoDraw = True
5.0387 	EXP 	New trial (rep=0, index=1): OrderedDict([(u'stimulus', u'S'), (u'category', u'letter')])
5.0532 	EXP 	text: autoDraw = False
5.0532 	EXP 	interStimInt: autoDraw = True
5.0865 	EXP 	interStimInt: autoDraw = False
5.0865 	EXP 	text: text = u'S'
5.0865 	EXP 	text: autoDraw = True
5.1194 	EXP 	New trial (rep=0, index=2): OrderedDict([(u'stimulus', 1), (u'category', u'number')])
5.1385 	EXP 	text: autoDraw = False
5.1385 	EXP 	interStimInt: autoDraw = True
5.1698 	EXP 	interStimInt: autoDraw = False
5.1698 	EXP 	text: text = 1
5.1698 	EXP 	text: autoDraw = True
5.2034 	EXP 	New trial (rep=0, index=3): OrderedDict([(u'stimulus', u'Q'), (u'category', u'letter')])
5.2197 	EXP 	text: autoDraw = False
5.2197 	EXP 	interStimInt: autoDraw = True
5.2532 	EXP 	interStimInt: autoDraw = False
5.2532 	EXP 	text: text = u'Q'
5.2532 	EXP 	text: autoDraw = True
5.2867 	EXP 	New trial (rep=0, index=4): OrderedDict([(u'stimulus', u'R'), (u'category', u'letter')])
5.3031 	EXP 	text: autoDraw = False
5.3031 	EXP 	interStimInt: autoDraw = True
5.3383 	EXP 	interStimInt: autoDraw = False
5.3383 	EXP 	text: text = u'R'
5.3383 	EXP 	text: autoDraw = True
5.3701 	EXP 	New trial (rep=0, index=5): OrderedDict([(u'stimulus', u'I'), (u'category', u'letter')])
5.3865 	EXP 	text: autoDraw = False
5.3865 	EXP 	interStimInt: autoDraw = True
5.4199 	EXP 	interStimInt: autoDraw = False
5.4199 	EXP 	text: text = u'I'
5.4199 	EXP 	text: autoDraw = True
5.4528 	EXP 	New trial (rep=0, index=6): OrderedDict([(u'stimulus', u'T'), (u'category', u'letter')])
5.4698 	EXP 	text: autoDraw = False
5.4698 	EXP 	interStimInt: autoDraw = True
5.5032 	EXP 	interStimInt: autoDraw = False
5.5032 	EXP 	text: text = u'T'
5.5032 	EXP 	text: autoDraw = True
5.5382 	EXP 	New trial (rep=0, index=7): OrderedDict([(u'stimulus', u'A'), (u'category', u'letter')])
5.5530 	EXP 	text: autoDraw = False
5.5530 	EXP 	interStimInt: autoDraw = True
5.5866 	EXP 	interStimInt: autoDraw = False
5.5866 	EXP 	text: text = u'A'
5.5866 	EXP 	text: autoDraw = True
5.6201 	EXP 	New trial (rep=0, index=8): OrderedDict([(u'stimulus', 8), (u'category', u'number')])
5.6367 	EXP 	text: autoDraw = False
5.6367 	EXP 	interStimInt: autoDraw = True
5.6699 	EXP 	interStimInt: autoDraw = False
5.6699 	EXP 	text: text = 8
5.6699 	EXP 	text: autoDraw = True
5.7036 	EXP 	New trial (rep=0, index=9): OrderedDict([(u'stimulus', 6), (u'category', u'number')])
5.7192 	EXP 	text: autoDraw = False
5.7192 	EXP 	interStimInt: autoDraw = True
5.7549 	EXP 	interStimInt: autoDraw = False
5.7549 	EXP 	text: text = 6
5.7549 	EXP 	text: autoDraw = True
5.7871 	EXP 	New trial (rep=0, index=10): OrderedDict([(u'stimulus', u'U'), (u'category', u'letter')])
5.8032 	EXP 	text: autoDraw = False
